,종목코드,종목명,EPS,PER,BPS,PBR,주당배당금,배당수익률
298,027830,대성창투,46.0,35.67,1573.0,1.04,0,0.0
299,016710,대성홀딩스,9558.0,0.86,26059.0,0.32,250,3.03
300,003540,대신증권,2036.0,8.36,44804.0,0.38,1200,7.05
301,045390,대아티아이,158.0,18.48,1730.0,1.69,0,0.0
302,108380,대양전기공업,904.0,14.93,24418.0,0.55,0,0.0
303,014160,대영포장,83.0,13.37,1832.0,0.61,0,0.0
304,047040,대우건설,1245.0,3.3,9847.0,0.42,0,0.0
305,009320,대우부품,5.0,230.4,566.0,2.04,0,0.0
306,003090,대웅,3692.0,6.49,22861.0,1.05,100,0.42
307,069620,대웅제약,10656.0,13.2,66686.0,2.11,600,0.43
308,000430,대원강업,494.0,9.14,8211.0,0.55,110,2.44
309,048910,대원미디어,514.0,16.21,8346.0,1.0,100,1.2
310,005710,대원산업,1784.0,3.36,22246.0,0.27,175,2.92
311,006340,대원전선,129.0,24.96,1345.0,2.39,0,0.0
312,003220,대원제약,1140.0,14.8,12559.0,1.34,300,1.78
313,120240,대정화금,1807.0,8.8,23228.0,0.68,450,2.83
314,003310,대주산업,287.0,5.12,2167.0,0.68,42,2.86
315,078600,대주전자재료,47.0,2436.17,10513.0,10.89,0,0.0
316,015230,대창단조,1310.0,4.06,10294.0,0.52,180,3.38
317,096350,대창솔루션,15.0,24.0,189.0,1.9,0,0.0
318,140520,대창스틸,122.0,19.02,7191.0,0.32,150,6.47
319,131220,대한과학,543.0,12.41,5260.0,1.28,60,0.89
320,054670,대한뉴팜,894.0,10.44,7791.0,1.2,100,1.07
321,023910,대한약품,4834.0,5.68,42172.0,0.65,750,2.73
322,001440,대한전선,519.0,25.03,6878.0,1.89,0,0.0
323,084010,대한제강,4007.0,2.93,42959.0,0.27,500,4.25
324,001790,대한제당,354.0,8.56,5764.0,0.53,115,3.8
325,001130,대한제분,60350.0,2.32,603520.0,0.23,2500,1.78
326,003490,대한항공,2866.0,7.55,25793.0,0.84,750,3.46
327,005880,대한해운,220.0,8.88,5178.0,0.38,0,0.0
328,003830,대한화섬,9283.0,11.0,638399.0,0.16,750,0.73
329,016090,대현,526.0,3.59,5879.0,0.32,100,5.29
330,069460,대호에이엘,52.0,21.15,1404.0,0.78,0,0.0
331,298540,더네이쳐홀딩스,3377.0,3.17,21542.0,0.5,400,3.74
332,192080,더블유게임즈,7635.0,6.15,44663.0,1.05,1000,2.13
333,393890,더블유씨피,1591.0,12.95,29689.0,0.69,0,0.0
334,299170,더블유에스아이,96.0,18.15,1339.0,1.3,0,0.0
335,012510,더존비즈온,1082.0,56.28,14903.0,4.09,217,0.36
336,213420,덕산네오룩스,1456.0,21.02,14375.0,2.13,0,0.0
337,077360,덕산하이메탈,125.0,45.44,6369.0,0.89,0,0.0
338,004830,덕성,366.0,19.04,5653.0,1.23,45,0.65
339,090410,덕신이피씨,523.0,2.98,2473.0,0.63,30,1.92
340,024900,덕양산업,383.0,11.03,2927.0,1.44,50,1.18
341,263800,데이타솔루션,99.0,45.0,2069.0,2.15,0,0.0
342,261200,덴티스,263.0,31.33,3644.0,2.26,0,0.0
343,145720,덴티움,11193.0,7.69,53874.0,1.6,400,0.46
344,067990,도이치모터스,373.0,13.27,13627.0,0.36,370,7.47
345,002150,도화엔지니어링,623.0,11.44,8202.0,0.87,280,3.93
346,006620,동구바이오제약,428.0,14.07,3999.0,1.51,120,1.99
347,460850,동국씨엠,339.0,23.22,32217.0,0.24,100,1.27
348,075970,동국알앤에스,37.0,73.78,4237.0,0.64,80,2.93
349,460860,동국제강,2869.0,2.94,34740.0,0.24,700,8.29
350,086450,동국제약,1073.0,15.93,12177.0,1.4,180,1.05
351,001230,동국홀딩스,4500.0,1.79,52450.0,0.15,600,7.45
352,023450,동남합성,1706.0,19.61,14865.0,2.25,1000,2.99
353,004140,동방,310.0,8.92,2969.0,0.93,20,0.72
354,099410,동방선기,354.0,7.26,2591.0,0.99,0,0.0
355,007590,동방아그로,978.0,6.35,12845.0,0.48,300,4.83
356,026960,동서,1468.0,12.64,16296.0,1.14,780,4.2
357,102260,동성케미컬,687.0,6.3,8132.0,0.53,200,4.62
358,033500,동성화인텍,993.0,13.22,5816.0,2.26,250,1.9
359,025950,동신건설,932.0,21.36,11512.0,1.73,150,0.75
360,000640,동아쏘시오홀딩스,9277.0,13.33,161977.0,0.76,2200,1.78
361,170900,동아에스티,1286.0,58.32,76497.0,0.98,700,0.93
362,028100,동아지질,742.0,18.67,16818.0,0.82,500,3.61
363,282690,동아타이어,707.0,18.83,28166.0,0.47,1000,7.51
364,041930,동아화성,951.0,6.98,10151.0,0.65,150,2.26
365,001520,동양,95.0,8.51,4135.0,0.2,40,4.95
366,082640,동양생명,1736.0,4.75,18628.0,0.44,400,4.85
367,060380,동양에스텍,221.0,7.83,4146.0,0.42,50,2.89
368,079960,동양이엔피,5975.0,3.34,41506.0,0.48,400,2.01
369,228340,동양파일,258.0,8.33,6404.0,0.34,0,0.0
370,092780,동양피스톤,588.0,10.63,9676.0,0.65,100,1.6
371,088910,동우팜투테이블,1027.0,2.08,8537.0,0.25,30,1.41
372,094170,동운아나텍,1452.0,12.93,3206.0,5.85,70,0.37
373,049770,동원F&B,5641.0,6.05,50436.0,0.68,800,2.34
374,013120,동원개발,469.0,5.59,11397.0,0.23,80,3.05
